230,371,662,371,662,416,230,416
286,422,590,422,590,463,286,463
120,474,752,474,752,517,120,517
136,524,732,524,732,568,136,568
160,574,742,574,742,618,160,618
196,626,676,626,676,671,196,671
290,674,584,674,584,718,290,718
304,724,568,724,568,766,304,766
60,822,324,822,324,868,60,868
774,828,826,828,826,866,774,866
66,874,348,874,348,916,66,916
64,924,212,924,212,968,64,968
474,926,550,926,550,968,474,968
568,926,658,926,658,968,568,968
700,928,792,928,792,968,700,968
66,976,326,976,326,1018,66,1018
776,978,828,978,828,1018,776,1018
60,1024,330,1024,330,1068,60,1068
64,1076,214,1076,214,1116,64,1116
474,1076,550,1076,550,1118,474,1118
568,1076,656,1076,656,1116,568,1116
700,1078,792,1078,792,1120,700,1120
66,1126,492,1126,492,1168,66,1168
776,1128,828,1128,828,1168,776,1168
60,1176,326,1176,326,1218,60,1218
62,1228,320,1228,320,1270,62,1270
474,1228,656,1228,656,1270,474,1270
682,1228,790,1228,790,1268,682,1268
66,1330,290,1330,290,1372,66,1372
626,1330,830,1330,830,1376,626,1376
66,1429,420,1429,420,1468,66,1468
664,1430,828,1430,828,1470,664,1470
62,1478,160,1478,160,1520,62,1520
660,1478,830,1478,830,1522,660,1522
66,1528,194,1528,194,1570,66,1570
664,1528,830,1528,830,1570,664,1570
62,1626,544,1626,544,1672,62,1672
622,1628,768,1628,768,1670,622,1670
60,1724,532,1724,532,1766,60,1766
568,1728,822,1728,822,1770,568,1770
66,1776,562,1776,562,1818,66,1818
172,1874,698,1874,698,1918,172,1918
250,1926,620,1926,620,1966,250,1966
214,1974,674,1974,674,2018,214,2018
