106,134,762,134,762,180,106,180
330,186,518,186,518,230,330,230
248,236,604,236,604,282,248,282
86,284,762,284,762,334,86,334
208,336,664,336,664,382,208,382
50,386,842,386,842,432,50,432
48,436,842,436,842,484,48,484
348,488,518,488,518,532,348,532
190,534,696,534,696,580,190,580
124,584,758,584,758,630,124,630
226,634,378,634,378,678,226,678
408,636,660,636,660,680,408,680
328,684,562,684,562,730,328,730
50,784,464,784,464,826,50,826
50,834,622,834,622,877,50,877
630,832,802,832,802,876,630,876
48,882,224,882,224,924,48,924
728,882,842,882,842,924,728,924
86,930,282,930,282,974,86,974
746,932,842,932,842,972,746,972
88,978,402,978,402,1028,88,1028
746,982,842,982,842,1022,746,1022
48,1078,538,1078,538,1124,48,1124
746,1078,842,1078,842,1118,746,1118
48,1126,324,1126,324,1168,48,1168
746,1126,842,1126,842,1168,746,1168
46,1176,324,1176,324,1222,46,1222
728,1176,842,1176,842,1218,728,1218
748,1224,842,1224,842,1268,748,1268
48,1226,182,1226,182,1274,48,1274
50,1322,480,1322,480,1369,50,1369
746,1324,842,1324,842,1366,746,1366
110,1470,756,1470,756,1516,110,1516
