6,204,480,204,480,260,6,260
64,243,408,243,408,289,64,289
60,275,394,275,394,323,60,323
60,309,408,309,408,355,60,355
74,343,382,343,382,387,74,387
80,377,394,377,394,421,80,421
88,475,410,475,410,521,88,521
0,537,114,537,114,583,0,583
132,543,152,543,152,581,132,581
160,541,496,541,496,587,160,587
2,573,112,573,112,615,2,615
258,579,494,579,494,619,258,619
0,605,156,605,156,651,0,651
172,611,494,611,494,653,172,653
4,641,142,641,142,683,4,683
170,639,494,639,494,685,170,685
2,671,184,671,184,717,2,717
428,675,494,675,494,717,428,717
3,703,73,703,73,747,3,747
165,708,497,708,497,779,165,779
0,766,170,766,170,816,0,816
396,769,494,769,494,813,396,813
0,801,198,801,198,847,0,847
228,807,326,807,326,849,228,849
398,807,494,807,494,847,398,847
6,867,148,867,148,911,6,911
356,871,492,871,492,911,356,911
6,899,132,899,132,945,6,945
356,903,492,903,492,945,356,945
4,933,186,933,186,977,4,977
356,937,492,937,492,977,356,977
198,967,338,967,338,1011,198,1011
160,999,394,999,394,1043,160,1043
