70,79,354,79,354,121,70,121
59,123,361,123,361,192,59,192
54,195,370,195,370,229,54,229
52,217,374,217,374,253,52,253
94,235,332,235,332,273,94,273
126,259,300,259,300,291,126,291
100,285,328,285,328,325,100,325
156,319,272,319,272,361,156,361
146,355,286,355,286,397,146,397
32,413,156,413,156,455,32,455
162,412,226,412,226,455,162,455
286,413,412,413,412,453,286,453
25,449,85,449,85,491,25,491
112,449,178,449,178,491,112,491
182,449,286,449,286,491,182,491
28,483,108,483,108,529,28,529
112,487,182,487,182,529,112,529
30,535,86,535,86,577,30,577
312,535,412,535,412,575,312,575
32,607,310,607,310,648,32,648
336,605,416,605,416,647,336,647
32,677,260,677,260,719,32,719
336,677,392,677,392,719,336,719
30,717,102,717,102,779,30,779
332,719,394,719,394,779,332,779
32,783,90,783,90,823,32,823
334,781,392,781,392,823,334,823
32,819,112,819,112,861,32,861
336,819,392,819,392,859,336,859
32,855,184,855,184,895,32,895
202,859,214,859,214,891,202,891
195,901,287,901,287,941,195,941
300,897,390,897,390,943,300,943
32,901,134,901,134,941,32,941
34,935,64,935,64,973,34,973
68,935,122,935,122,975,68,975
232,935,288,935,288,973,232,973
336,935,394,935,394,973,336,973
44,977,394,977,394,1019,44,1019
198,1015,242,1015,242,1051,198,1051
44,1049,402,1049,402,1091,44,1091
78,1081,184,1081,184,1125,78,1125
208,1085,358,1085,358,1127,208,1127
90,1119,346,1119,346,1159,90,1159
