62,70,620,70,620,101,62,101
200,92,478,92,478,123,200,123
144,116,490,116,490,164,144,164
346,142,534,142,534,166,346,166
216,166,466,166,466,192,216,192
158,206,520,206,520,248,158,248
266,264,542,264,542,302,266,302
52,302,142,302,142,326,52,326
342,306,544,306,544,330,342,330
46,330,404,330,404,372,46,372
48,371,340,371,340,399,48,399
52,398,236,398,236,422,52,422
48,420,380,420,380,448,48,448
48,440,300,440,300,468,48,468
276,466,440,466,440,490,276,490
458,466,518,466,518,490,458,490
44,494,184,494,184,516,44,516
196,494,240,494,240,514,196,514
248,494,286,494,286,514,248,514
350,494,370,494,370,514,350,514
294,496,336,496,336,514,294,514
376,496,432,496,432,518,376,518
446,496,536,496,536,520,446,520
44,527,172,527,172,555,44,555
186,532,242,532,242,554,186,554
268,532,286,532,286,552,268,552
314,532,334,532,334,552,314,552
350,532,372,532,372,552,350,552
410,532,430,532,430,554,410,554
472,532,536,532,536,556,472,556
44,552,158,552,158,576,44,576
185,556,241,556,241,574,185,574
312,554,334,554,334,576,312,576
410,554,430,554,430,576,410,576
268,556,286,556,286,574,268,574
350,556,370,556,370,576,350,576
470,556,534,556,534,578,470,578
202,584,432,584,432,630,202,630
466,588,538,588,538,624,466,624
46,634,160,634,160,658,46,658
182,636,242,636,242,658,182,658
268,636,286,636,286,656,268,656
314,636,334,636,334,656,314,656
398,636,432,636,432,660,398,660
350,638,368,638,368,656,350,656
468,638,536,638,536,660,468,660
64,666,432,666,432,712,64,712
466,672,540,672,540,706,466,706
370,716,428,716,428,754,370,754
466,716,538,716,538,754,466,754
76,762,430,762,430,811,76,811
464,768,536,768,536,804,464,804
202,812,430,812,430,858,202,858
464,814,536,814,536,850,464,850
250,862,428,862,428,906,250,906
462,864,534,864,534,900,462,900
90,924,146,924,146,948,90,948
80,948,580,948,580,974,80,974
92,971,514,971,514,999,92,999
88,996,582,996,582,1022,88,1022
88,1017,492,1017,492,1045,88,1045
92,1041,514,1041,514,1070,92,1070
92,1066,232,1066,232,1090,92,1090
208,1092,454,1092,454,1118,208,1118
